OPIQE	O)/PIQE
PARALLH	PARA/LLH|
T	T
NUSW	NU/SW
ERGH	E)/RGH
TAGI	TAGI/
TOIS	TOI=S
ECOIS	E(/COIS
SIMWNOS	*SI/MWNOS
XALKO	XA/LKO
ANELQW	A)NE/LQW
MAKARION	MAKA/RION
EPILEGE	E)PI/LEGE
TAGE	
AGGU	*)/AGGU
KARR	KA/RS
ELEHMWNOS	E)LEH/MWNOS
FAGONIN	FAGONI/N
FOBISQAI	FO/BISQAI
POLOU	
USTERESAI	U(STE/RESAI
UIOU	UI(OU=
APOSTELLWMENWN	A)POSTELLWME/NWN
IDIWN	I)DI/WN
KATAMENWN	KATAME/NWN
APOKAINHQH	A)POKAINHQH=
ALIYAI	
EPIHKEIAS	
CENON	CE/NON
XARHTI	XA/RHTI
KANWNA	KANW=NA
XEIRAGWGEIAS	XEIRAGWGEI/AS
SUNAGWNTOS	SUNAGW=NTOS
EUXAIROTERWS	EU)XAIROTE/RWS
APOPLHRWSIN	
DIDETAI	DI/DETAI
KATABIBAZWNTES	KATABIBA/ZWNTES
XUDEOTERWN	XUDEOTE/RWN
ALHQEINWN	A)LHQEINW=N
ECANUSHS	E)CANU/SH|S
MERKOURIOS	*MERKOU/RIOS
ABRAMIOS	*)ABRA/MIOS
PAPNOUQIOS	*PAPNOU/QIOS
SENOUQIOS	*SENOU/QIOS
NAUTTIKOU	NAUSSIKOU=
STI	STI
BASILEIOU	BASILEI/OU
EUHSXE	EU)H=SXE
PODE	PO/DE
ANDREA	*)ANDRE/A
FILOKALEIAS	FILOKALEI/AS
KATALABANONTOS	KATALABA/NONTOS
ADUNANTWN	A(DUNA/NTWN
APROU	*)/APROU
FOINIKO	FOINIKO/
ZAXAIW	*ZAXAI/W
PAGARXON	PA/GARXON
NOTINOU	NOTINOU=
AGKURRE	A)/GKURSE
LEPTA	LEPTA/
PHSOM	PH=SON
OCUGGIOU	O)CUGGI/OU
ANHLOGIAN	A)NHLOGI/AN
EPIKEIMENOUS	E)PIKEIME/NOUS
PAXUMIS	*PAXU/MIOS
SENOUQIW	*SENOUQI/W
QEODWRAKIW	*QEODWRAKI/W
RP	R(P
XILEIAS	XILEI/AS
LOIPAZOMENON	LOIPAZO/MENON
EGRAYA	E)/GRAYA
PANTOIAN	PANTOI/AN
ENNATOS	E)/NNATOS
KOURSW	KOU/RSW|
KATALLE	KA/TALLE
EAUTON	E(AUTO/N
KAUTON	KAUTO/N
EPILEGOMENON	E)PILEGO/MENON
ENOMWTWS	E)NOMW/TWS
P	P
XNZ	XNZ
TOI	TOI
KTW	KTW=
UPODEGMENOU	U(PODEGME/NOU
DANEON	DANE/ON
PEMYOM	PE/MYON
THG	TH/N
MN	MN
SANIDAS	SANI/DAS
SIDAROUS	SIDAROU=S
SWXAROU	*SWXA/ROU
ELAAS	E)LA/AS
PROEIREQH	PROEIRE/QH
GLUKEOS	GLUKE/OS
MAGIRWI	MAGI/RW|
MAGEIRWN	MAGEI/RWN
PEPOHTAI	PEPO/HTAI
POHSAIS	POH/SAIS
EM	E)M
HMUSU	H(/MUSU
ES	E)S
DEHSE	DE/HSE
UPERANHLISKW	U(PERANHLI/SKW
PEDHSANTES	PEDH/SANTES
DUSSXEREIAN	DUSXE/REIAN
EPRASETAI	E)PRA/SETAI
UMAS	
SANPER	SA/N
PARANGELIAS	PARAGGELI/AS
DUNANTO	DU/NANTO
ELAEIKA	E)LAEI+KA/
POHSEIS	POH/SEIS
UPOTERW	U(POTE/RW
TOUTW	
GRAFH	
IEREWN	
EGDOQH	E)KDOQH=
GRAYHS	GRA/YHS
DI	DI
ALECI	
DOQH	DOQH=
OYWNIO	O)YW/NIO
SITON	SI=TON
APENEGXQENTWN	A)PENEGXQE/NTWN
APENEGXQEISAS	A)PENEGXQEI/SAS
APODIDOU	A)PODI/DOU
IEREIWS	I(EREIW=|S
ONTWN	O)/NTWN
IEREIWN	
SUNXWRHSASA	SUGXWRH/SASA
PROEPIKTHSHTAI	PROEPIKTH/SHTAI
KALOUMENH	KALOUME/NH
MERIDA	MERI/DA
PLATEA	
EISAGON	EI)SA/GON
GEINWSKE	GEI/NWSKE
UPOZUGEIWN	U(POZUGEIW=N
POIHSIS	
MHTE	MH/TE
KOMISESQAI	KOMI/SESQAI
ECIWKA	E)CI/WKA
XALIKA	XA/LIKA
OSON	O(/SON
GOMON	GO/MON
ENTOLHN	E)NTOLH/N
XAIR	XAI/+R
PROTELEKOTAS	PROTELEKO/TAS
FILIPPIOS	*FILI/PPIOS
EPHRWTOU	
SUG	
METABEBLHNTAI	METABE/BLHNTAI
PESZOIS	
AFEIRHNTAI	A)FEI/RHNTAI
PESZWN	
EGDOUNAI	E)KDOU=NAI
PAREIRENTAI	PAREI/RENTAI
AM	A)/M
ASKLHPIADEI	A)SKLHPIA/DEI
ANEPEPLEUKEISAN	A)NEPEPLEU/KEISAN
ENKEFALOS	E)GKE/FALOS
OPON	O)PO/N
EAM	EAM
ANAGGELEI	A)NAGGELEI=
EBOUKOLHSEM	E)BOUKO/LHSEN
SUSSTHSAS	SUSTH/SAS
EISMEMETRHMENHN	EI)SMEMETRHME/NHN
EPIGRAFEI	E)PIGRA/FEI
FEI	FEI=
OFEILEIM	O)FEI/LEIN
FRHTAIWI	FRHTAI/W|
FHSIN	FHSIN
OFEILOUSAM	O)FEI/LOUSAN
MEG	ME/G
EP	EP
PROGEGRAMENOU	PROGEGRA/MENOU
POIEISQE	POIEI=SQE
MHINA	MH=|NA
ECESTWI	E)CE/STW|
MHID'	MHI/DION
MHI	MH|
EPIKALHSEIN	E)PIKALH/SEIN
APORRHISIN	A)PORRH=|SIN
BASILI	BASILI/
OK	O)K
PARASTHSAMENON	PARASTHSA/MENON
APAN	A(/PAN
KRISI	KRI/SI
KATADUNASSTEUQW	KATADUNASTEUQW=
PO	PO
EPIQEWRHSIN	E)PIQEW/RHSIN
EISKALESQAI	EI)SKA/LESQAI
EIEI	EI)/EI
DUNANTAI	DU/NANTAI
PAEIS	PA/EIS
ANANKAIWN	A)NAGKAI/WN
YEUDH	
EPISTH	E)PI/STH
EUTATWN	EU)TATW=N
EIMEI	
EGKATALELEMENOI	E)GKATALELEME/NOI
HITESAI	H)/|TESAI
DILOGON	DI/LOGON
EPOIESAMEN	E)POIE/SAMEN
HFAISTIADEI	*(HFAISTIA/DEI
KEXORHGEKENAI	KEXORHGEKE/NAI
KATALIPETAI	KATALI/PETAI
AFHKAN	A)FH=KAN
POEIN	POEI=N
EMBLHSQAI	E)MBLH=SQAI
PROSEGGEILEN	PROSE/GKEILEN
PROSBUTERWN	PROSBUTE/RWN
ISIN	
DWSIN	DW=SIN
ETEROM	E(/TERON
KATELIPEM	KATE/LIPEN
EKASTOM	E(/KASTON
OUQEM	OU)QE/N
KATALEIFQEM	
PAREXEIM	PARE/XEIN
EINEKEN	EI(/NEKEN
ESTIG	E)STIN
ELAFEWN	E)LAFE/WN
LEONTA	
STROUQEON	STROU/QEON
MESOS	ME/SOS
MELIXROUS	
OULH	
APEGDOUNAI	A)PEKDOU=NAI
OU	OU)
INAI	I)=NAI
LEONTIKOS	LEONTIKO/S
OULHM	
MEM	ME/M
TOM	TO/M
XRHAN	
OS	O(/S
MAKROTERAN	MAKROTE/RAN
BOTRUS	BO/TRUS
STERISON	
PARH	PARH=
MUREYIN	MURE/YION
PARAGHOXAMEG	PARAGHO/XAMEN
PAWPIOS	*PAW/PIOS
LITORGW	LITORGW/
HMUSO	H)/MUSO
PROSAGAGHS	PROSAGA/GH|S
GEN	GEN
DEKADU	
OYWNION	O)YW/NION
DUW	
FILADELFEAI	FILADELFE/AI
OIKODOMEKA	OI)KODO/MEKA
EN	E)N
DOKI	DOKI/
SITWNESW	SITWNE/SW
SUNETACEIS	SUNETACEI=S
IKOSI	I)KO/SI
PROSANGELMATI	PROSAGGE/LMATI
KALAME	KA/LAME
POLLE	POLLE/
ANUCON	A)/NUCON
PROSEFWNHSA	PROSEFW/NHSA
ANUCAI	
PROPEMYOMENOU	PROPEMYOME/NOU
UPARXONTWM	U(PARXO/NTWN
THM	TH/M
TELEWN	TELE/WN
BURRAN	BU/RSAN
PALION	PALI/ON
DHCAMENH	DHCAME/NH
BASILEOIS	*BASILE/OIS
STUPEION	STUPEI=ON
PERSHWN	PERSH/WN
THN	TH/N
PALAIOU	
THI	TH=|
EILEFA	EI)/LEFA
ARTOKOPION	A)RTOKO/PION
OM	OM
UPERETOU	
OUSI	OU)=SI
PROKAQAIROUSI	PROKAQAI/ROUSI
FUTEUON	
FOINIKOUSA	
PERDIKEA	PERDIKE/A
BWNOS	*BW=NOS
FULON	FU=LON
ENNATO	E)/NNATO
KUKLWQEN	KUKLWQE/N
KWTIKOS	KW/TIKOS
KWTIKA	KW/TIKA
STOXI	STOXI/
LHQH	LH/QH
XAMOMULON	XAMO/MULON
MIA	MI/A
THS	TH=S
STIXI	STIXI/
PULONA	PU/LONA
SUMPOSIA	SUMPO/SIA
ASKEPASTA	A)SKE/PASTA
EAN	
AGOUSTALI	A)GOUSTA/LION
ASELGIAS	A)SELGI/AS
OFELIMOIS	O)FELI/MOIS
XWREIS	XWREI=S
EURESILOGIAS	EU(RESILOGI/AS
KATAFRONESAIS	
EIDUIHS	EI)DUI/HS
ADIOUTOR	A)DIOU=TOR
KATEPIGOUSAN	KATEPI/GOUSAN
QEIW	
ENOIKEIOU	E)NOIKEI/OU
ENOIKEION	
ARXONTOS	A)/RXONTOS
DEDWKES	DE/DWKES
AKOUBITOU	A)KOUBI/TOU
MHNA	
QEKLA	*QE/KLA
WSEI	
SUM	
TREIA	TREI=A
